"Proximal,10ms,0.2Hz,9.4GPM","Distal,10ms,0.2Hz,9.4GPM","Proximal,10ms,0.2Hz,8.6GPM","Distal,10ms,0.2Hz,8.6GPM","Proximal,10ms,0.2Hz,7.8GPM","Distal,10ms,0.2Hz,7.8GPM","Proximal,10ms,0.2Hz,6.7GPM","Distal,10ms,0.2Hz,6.7GPM","Proximal,10ms,0.2Hz,5.4GPM","Distal,10ms,0.2Hz,5.4GPM","Proximal,10ms,0.2Hz,3.9GPM","Distal,10ms,0.2Hz,3.9GPM","Proximal,10ms,0.2Hz,3.2GPM","Distal,10ms,0.2Hz,3.2GPM"
30.662,31.174,31.641,30.709,30.755,31.571,29.465,31.034,29.74,31.034,30.546,31.524,30.408,31.688
30.57,31.104,29.717,30.778,30.685,31.501,29.42,30.755,29.74,30.871,30.546,31.454,30.477,31.665
30.732,31.15,29.511,30.709,30.662,31.477,29.306,31.104,31.477,30.941,30.477,31.571,30.269,31.618
30.593,30.964,29.671,30.801,30.616,31.524,29.328,30.778,29.74,35.469,30.57,31.501,30.338,31.782
30.546,31.384,29.717,30.732,30.662,31.477,29.924,31.127,29.786,30.918,30.523,31.431,30.246,31.759
30.662,30.941,29.74,30.685,30.546,31.477,29.146,31.15,29.786,30.987,30.546,31.548,30.384,31.665
30.57,31.034,29.511,30.732,30.616,31.477,29.283,30.292,29.74,30.918,30.477,31.454,30.408,31.618
30.662,30.662,29.557,30.338,30.616,31.477,29.694,30.894,29.786,30.801,30.523,31.501,30.454,31.641
30.384,31.127,29.671,30.639,30.5,31.454,29.283,30.918,30.108,30.941,30.477,31.548,30.755,31.688
30.778,31.104,29.671,30.662,30.5,31.454,29.306,31.08,29.74,30.941,30.431,31.501,30.431,31.641
30.431,30.778,29.74,30.732,30.431,31.594,29.465,31.034,29.786,31.011,30.454,31.501,30.57,31.594
30.454,30.941,30.062,30.732,30.408,31.501,29.328,31.011,29.809,30.894,30.408,31.548,30.431,31.641
30.755,30.987,29.649,30.778,30.408,31.454,29.328,30.964,29.901,31.057,30.454,31.501,30.755,31.454
30.384,30.918,29.465,30.523,30.408,31.618,29.191,31.104,29.832,30.755,30.408,31.853,30.5,31.15
30.546,31.08,29.786,36.241,30.454,31.524,29.328,31.034,30.062,30.941,30.408,31.477,30.384,31.688
30.662,31.22,29.603,30.732,30.362,31.548,27.721,31.08,29.809,31.034,30.408,32.396,30.408,31.9
30.062,31.15,29.671,30.639,30.338,31.454,29.169,30.848,29.901,30.941,30.408,31.454,30.848,31.29
30.871,30.338,29.671,30.338,30.362,31.524,29.671,30.825,30.2,30.987,30.408,31.524,30.454,31.782
30.477,31.011,29.671,30.408,26.67,31.407,29.306,31.034,29.786,31.034,30.408,31.477,30.431,31.829
30.431,31.011,30.918,31.08,30.016,29.169,29.511,30.848,29.901,30.894,30.408,31.735,30.384,31.477
31.22,30.987,29.671,30.685,30.246,31.548,29.351,31.057,29.832,31.011,30.408,31.548,30.408,29.97
30.477,31.057,29.809,30.662,29.832,31.477,29.306,30.987,29.924,30.57,30.408,31.524,30.384,31.782
30.408,30.338,29.671,30.639,30.108,30.732,29.351,30.778,29.901,30.987,30.384,31.454,30.431,31.665
30.292,30.941,29.694,31.127,30.154,31.337,29.351,31.034,29.924,30.987,30.315,31.501,30.431,31.853
30.546,30.778,29.694,30.546,30.177,31.454,29.306,30.778,29.832,30.987,30.362,31.501,30.408,31.594
30.477,31.034,29.717,30.732,30.085,31.501,29.374,31.127,29.993,31.011,30.384,31.524,30.454,31.407
30.546,31.15,29.74,30.616,30.108,31.594,29.328,31.15,29.924,30.941,30.362,31.501,30.315,31.571
30.639,31.034,29.74,30.384,30.039,31.454,29.146,31.197,30.039,30.941,30.269,31.524,30.685,31.501
30.477,30.941,29.671,30.523,30.108,31.501,29.306,27.923,29.993,31.011,30.384,31.501,30.57,31.524
30.477,31.36,29.786,30.523,30.016,31.477,29.1,30.941,29.993,31.057,29.924,31.15,30.408,31.454
30.016,31.15,28.239,30.523,29.924,31.501,29.191,31.174,30.085,31.034,30.062,31.127,31.08,31.501
30.778,31.127,29.671,30.384,29.97,31.454,29.123,30.431,30.016,31.011,30.039,30.778,30.408,31.618
30.639,31.127,29.671,30.338,30.016,31.477,29.1,32.041,30.131,30.941,30.062,30.662,30.454,31.641
30.477,30.894,29.671,30.616,29.97,31.501,29.283,30.778,30.108,31.011,30.246,31.08,30.848,31.665
30.523,31.384,29.58,30.57,29.97,31.501,29.306,31.15,29.878,28.828,29.511,31.197,32.277,31.454
30.384,30.408,29.671,30.825,29.924,31.477,29.306,31.08,30.085,31.08,30.016,30.523,30.454,31.876
31.174,31.594,29.717,30.477,29.924,31.431,29.169,31.104,30.154,31.011,29.74,31.571,30.408,31.641
31.034,31.9,29.694,30.523,29.671,31.454,29.717,30.778,30.085,31.034,29.947,31.501,30.477,31.594
30.941,31.314,29.374,30.616,29.924,31.454,29.032,31.314,30.177,30.987,29.786,31.735,30.454,31.594
31.104,31.571,29.671,30.108,29.947,31.501,29.442,30.523,30.154,30.987,30.431,31.034,31.735,31.641
29.42,31.641,30.085,30.5,29.878,31.524,29.237,31.011,30.154,31.759,29.924,31.548,30.523,31.314
30.918,31.548,29.809,30.5,29.901,31.548,29.078,31.011,30.292,31.034,29.786,31.571,30.384,31.594
31.127,31.782,29.717,30.477,29.786,31.501,28.987,30.918,30.2,31.034,29.809,31.384,30.246,31.641
31.011,31.853,30.154,30.5,29.442,31.431,29.26,31.15,30.269,31.011,30.108,31.15,30.5,31.524
31.104,31.9,29.74,30.362,29.763,31.524,29.626,30.546,30.292,30.894,29.947,31.034,30.384,31.594
31.08,31.641,30.062,31.011,29.832,31.431,29.1,31.127,30.292,30.941,29.786,31.22,30.454,31.034
31.104,31.548,29.809,30.454,29.763,31.923,29.237,31.011,30.292,31.034,29.078,31.034,30.177,31.594
31.08,31.548,30.016,30.408,29.74,31.501,29.078,29.901,30.269,31.15,31.641,31.244,30.546,31.994
31.011,31.571,29.832,29.993,30.016,31.454,29.169,31.454,30.338,31.011,30.062,30.987,30.408,31.735
31.057,31.501,29.351,30.454,29.74,31.477,29.42,31.104,30.338,31.08,30.154,31.314,30.408,31.548
31.08,31.829,29.832,30.408,29.74,31.501,28.987,31.36,30.384,30.408,29.786,31.244,30.431,31.524
30.755,31.641,30.131,30.477,29.671,31.524,29.1,30.801,30.338,31.011,29.901,31.267,30.338,31.688
30.987,31.594,29.717,30.454,29.717,31.501,29.055,31.127,30.384,31.104,29.901,31.197,30.362,31.97
30.801,31.665,30.016,30.825,29.671,31.454,28.623,30.987,30.362,31.034,29.924,31.267,30.454,31.665
30.778,31.594,29.74,30.57,29.671,31.477,28.964,31.127,30.408,31.034,30.016,31.034,30.454,32.68
30.918,31.571,29.717,30.523,29.694,31.501,29.078,31.15,30.408,31.08,30.177,31.197,30.039,31.782
31.034,31.641,30.269,30.454,29.671,30.2,29.328,31.08,30.384,31.104,29.717,31.267,30.408,31.548
31.034,31.594,29.786,30.5,29.671,31.501,29.1,31.15,30.408,31.08,29.557,31.127,30.384,31.641
30.801,31.641,29.809,30.5,29.671,31.477,29.191,31.057,30.292,31.127,29.671,31.15,30.477,31.594
30.57,31.594,29.993,30.408,29.671,31.477,29.191,31.127,30.408,30.616,30.408,31.29,30.57,31.782
30.755,30.848,29.924,30.477,29.649,31.501,29.42,31.057,30.477,31.127,29.947,31.923,30.292,31.641
30.801,31.665,30.477,30.477,29.671,31.501,29.26,31.22,30.431,31.08,29.901,31.267,30.431,31.947
30.778,31.571,30.292,30.616,29.306,31.197,28.941,31.22,30.408,30.408,30.131,31.36,30.431,31.735
30.709,33.421,30.016,30.523,29.351,31.174,28.941,31.104,30.408,31.104,29.878,31.174,30.546,32.017
30.755,31.501,29.993,30.662,29.1,31.104,29.169,31.011,30.477,31.057,29.97,30.778,30.477,31.594
30.709,31.665,30.016,30.454,29.055,31.477,29.1,31.477,30.477,31.034,30.039,31.267,30.546,31.594
30.523,31.594,30.016,30.477,29.26,31.15,28.148,31.08,30.431,31.08,29.97,31.454,29.465,31.618
30.616,31.384,30.062,30.408,29.26,31.267,29.009,31.127,30.454,31.034,29.97,31.782,23.981,31.735
30.639,31.9,30.269,31.501,29.306,30.2,28.964,31.127,30.454,31.104,30.062,31.29,30.871,31.594
30.523,31.641,30.039,30.408,29.306,31.314,29.1,30.57,30.477,31.08,30.154,30.801,30.431,31.806
30.454,31.571,30.062,30.709,29.442,31.15,29.078,31.15,30.477,31.104,29.763,31.571,30.454,31.594
30.546,31.384,30.039,30.454,29.214,31.08,28.918,31.08,30.477,31.034,29.924,31.22,30.292,31.407
30.57,31.548,30.108,30.408,29.26,31.15,29.237,31.15,30.523,31.15,29.809,31.15,30.408,31.15
30.408,31.641,30.177,31.267,28.964,31.197,29.078,31.057,30.546,30.918,29.901,31.15,30.431,32.966
30.477,31.618,30.131,34.927,29.283,31.407,29.009,31.127,30.546,31.29,29.924,31.314,30.546,30.2
30.408,31.571,30.2,30.384,29.626,31.15,28.941,33.421,30.523,31.127,29.671,31.923,30.57,31.594
30.408,31.524,30.384,30.408,29.237,31.104,29.671,31.011,30.477,31.034,30.016,31.15,30.431,31.548
30.431,31.853,30.246,30.292,29.283,30.941,29.442,31.127,30.57,31.127,29.878,31.15,30.616,31.641
30.408,32.159,30.408,30.408,29.169,31.22,29.055,31.104,30.477,31.104,29.878,31.384,30.362,31.454
30.408,31.548,30.292,30.384,29.42,31.174,29.055,31.454,30.546,31.104,30.154,31.829,30.408,31.688
30.362,31.571,30.016,30.408,29.283,31.22,29.055,30.5,30.57,31.15,29.74,31.29,30.454,31.407
30.338,31.524,30.315,30.408,28.941,31.104,28.964,31.034,30.57,31.127,29.993,31.759,30.384,31.594
